﻿no,height,weight,top,chest,shoulder,arm,neck,ntk,waist,ass,bottom,thighs,gender,age
F001,161.4,62.9,62.9,90.6,35.4,52.1,35.2,94.5,80.5,98.6,94.2,58.4,F,37
F002,168.1,56.1,56.1,88.5,35.4,54.6,31.8,95.2,74.4,92,107,51.3,F,26
F003,163.4,53.2,53.2,84.5,35.4,52.5,30.5,95.9,76.5,88.2,97.1,52.8,F,39
F004,164.1,49.4,49.4,80.5,33.5,57,30,95.4,64.1,87.8,100.1,50.3,F,30
F005,152.9,51.9,51.9,80.5,33.1,49,32.1,90.7,66.2,90.5,93.8,55,F,44
F006,159.7,47.6,47.6,79.5,32.1,51.1,30.5,94.7,64.4,87.3,93.9,47.6,F,50
F007,162.2,59.1,59.1,93,33.6,53.1,32.7,95.5,74.8,92.1,100.8,52.2,F,42
F008,157.6,61.6,61.6,99.7,36.6,51.5,32.4,90.7,82.6,92.2,95.5,51.5,F,65
F009,167.1,52.3,52.3,86.1,36.4,55.9,30.9,97,65.7,92.2,104.9,54.3,F,33
F010,160.8,52.7,52.7,82.2,34.4,52,30.8,95.2,68.7,91.9,100.6,53.5,F,55
F011,154,53,53,84.1,35.4,50.3,31.5,89.5,71.9,95.1,92.1,56,F,48
F012,152,74,74,101.9,33.8,50.5,36.2,89.3,99.7,105.4,90.2,64.4,F,50
F013,160.2,51.2,51.2,81,35.8,54.8,32.8,94.4,68.5,89,96.5,52.2,F,57
F014,160.5,45.6,45.6,76.9,32.6,51.5,28.6,94.4,61.9,90,97.9,51.2,F,51
F015,164.1,66.4,66.4,90.6,35.5,52.3,32.8,93.2,78,102.7,98.9,61.7,F,49
F016,167.6,74.1,74.1,105,37.8,54.5,35.6,98.2,90.4,98.3,103.5,58.1,F,44
F017,163.4,48,48,78,53.2,52.3,29.7,95.9,62.4,88,100.8,52.2,F,44
F018,157.1,50.5,50.5,81.7,32.8,52.5,31.8,90.7,67.3,92,98.4,54.6,F,39
F019,153.3,58.5,58.5,92.7,35.7,48.9,31.8,90.4,80.3,97.4,95.5,57.2,F,63
F020,159.3,56.3,56.3,89,33.9,54.4,36.4,94.9,78.8,88.4,98.8,52.5,F,54
F021,164.1,46.5,46.5,80,35.4,53.8,30.7,93.9,66.5,84.3,100.8,48,F,50
F022,150.1,45.1,45.1,88,32.1,49.8,29.7,87,66.7,83.7,90.5,48.2,F,56
F023,162.5,49.6,49.6,83.5,35.6,52.2,29.8,95.3,64.3,86,100.8,49.9,F,45
F024,160.8,48.3,48.3,82.8,34.3,51,31.9,96.2,68.7,86.5,94.9,49.8,F,32
F025,155.1,56.1,56.1,86,34.6,54.5,30.8,89.6,73.5,102,93.8,59.5,F,36
F026,163.2,58.5,58.5,90,33.6,54.3,30.8,96.3,74.4,94.7,98.4,54.5,F,60
F027,163.3,51.2,51.2,79.9,33.8,54.4,30.8,93.7,72.2,90.6,101.6,51.6,F,30
F028,161.5,51.2,51.2,84.5,35.9,53,32.6,92.3,67.5,88.3,96.1,50.6,F,25
F029,152.2,45.1,45.1,81.7,32.1,49.8,33.3,89.2,70.3,83.6,91.5,47.2,F,54
F030,167.4,59,59,90.6,35.8,55,35.8,98.9,75.6,95.5,103.6,54.8,F,39
F031,159.8,63.3,63.3,91.3,34.6,54,34,94,82.4,95.3,100.6,54.8,F,60
F032,155.4,47,47,77.8,32.2,51.9,32.7,88.2,61,88.1,94.8,53.1,F,22
F033,158.7,57.3,57.3,88,36.9,50.3,34.3,93.3,82.5,92.5,94.9,53.4,F,57
F034,150.9,50.5,50.5,85.2,34.4,46.1,32.8,89.2,74.3,87.9,91.8,49.9,F,54
F035,168.4,47.4,47.4,77.8,34.6,55.5,29.5,99.3,62.5,86.7,102.8,48,F,52
F036,162.7,64.4,64.4,90,33.8,53.9,33,94.1,79.8,97.5,100.4,60.1,F,49
F037,161.1,39.7,39.7,80.3,33.9,51,28,92.5,60,80,99,44.5,F,26
F038,161.5,48.4,48.4,84.1,32.9,53,31.6,93.7,68.3,87.8,101.1,47.4,F,40
F039,160.4,61.4,61.4,92.5,34.6,54,31.5,90.9,77,96.2,98.3,55.1,F,52
F040,156.9,51.3,51.3,83.7,33.9,50.8,31,90.3,66,94.6,94.5,54.3,F,35
F041,156.7,54,54,87.5,34.9,55.5,31.7,90.9,71.8,93.5,96.5,52.2,F,51
F042,153.6,49.8,49.8,84.3,33.5,48,30.6,89.2,68.9,88,95,53.2,F,23
F043,159.2,60.8,60.8,90.7,33.7,50,31.6,93.7,79.3,100.1,100.5,59.6,F,53
F044,154.7,66.1,66.1,99.6,34,50,35.1,90.5,85.4,97.7,96,57.1,F,47
F045,152.1,69.5,69.5,101.2,33,50.3,35.9,90.3,101.5,95.7,91.2,58,F,53
F046,162.9,65.9,65.9,90.8,34.4,53,33.1,94.5,81,101.9,101.4,60.4,F,55
F047,166.3,58.8,58.8,88.2,33.3,53.8,32.7,96.7,74.5,93.7,104.3,52.5,F,50
